iterations,fitness,time,fevals
0,17.0,0.000364078,432
10,16.0,0.000659909,764
20,16.0,0.000923231,1104
30,16.0,0.001182624,1437
40,27.0,0.001434751,1768
50,27.0,0.001679816,2106
60,30.0,0.001904551,2433
70,30.0,0.00213748,2768
80,30.0,0.002380158,3108
90,33.0,0.002622594,3451
100,33.0,0.002875215,3790
110,34.0,0.00312117,4123
120,34.0,0.003374025,4461
130,34.0,0.003659154,4803
140,34.0,0.003918909,5141
150,35.0,0.004159373,5477
160,35.0,0.004401379,5815
170,35.0,0.004648406,6153
180,35.0,0.004892269,6490
190,35.0,0.00513904,6836
200,35.0,0.005382748,7172
210,35.0,0.005636853,7514
220,35.0,0.005898076,7846
230,35.0,0.006146097,8175
240,35.0,0.006391213,8509
250,35.0,0.006643808,8847
260,35.0,0.0068924,9183
270,36.0,0.007135422,9515
280,36.0,0.007383709,9850
290,36.0,0.007639757,10187
300,36.0,0.007886581,10520
310,36.0,0.00813565,10849
320,35.0,0.008380843,11178
330,35.0,0.008625765,11509
340,38.0,0.008870453,11843
350,35.0,0.009111905,12192
360,35.0,0.009348169,12522
370,35.0,0.009586164,12853
380,35.0,0.009822724,13181
390,36.0,0.010064548,13515
400,36.0,0.010303455,13849
410,36.0,0.010547574,14184
420,36.0,0.010791744,14510
430,36.0,0.011036077,14845
440,36.0,0.011282326,15194
450,35.0,0.011532439,15538
460,35.0,0.011779285,15869
470,35.0,0.012043355,16207
480,35.0,0.012291901,16535
490,35.0,0.012541133,16872
500,36.0,0.012784738,17206
510,35.0,0.013027377,17544
520,36.0,0.01327576,17887
530,36.0,0.013524611,18223
540,36.0,0.013776052,18561
550,36.0,0.014073408,18906
560,36.0,0.01435675,19230
570,36.0,0.014639959,19570
580,38.0,0.014932587,19901
590,36.0,0.015212941,20226
600,36.0,0.01545734,20559
610,36.0,0.015734687,20897
620,38.0,0.015992907,21236
630,39.0,0.01628803,21577
640,39.0,0.016541658,21904
650,43.0,0.016824242,22229
660,39.0,0.017090325,22565
670,39.0,0.017353725,22901
680,43.0,0.017660293,23243
690,43.0,0.017909491,23584
700,43.0,0.018148751,23920
710,43.0,0.01839119,24247
720,43.0,0.018636699,24588
730,43.0,0.01888043,24929
740,44.0,0.01915825,25259
750,43.0,0.019402219,25594
760,43.0,0.0196478,25931
770,43.0,0.019937772,26255
780,44.0,0.020197324,26587
790,44.0,0.020448272,26930
800,44.0,0.020730066,27270
810,44.0,0.0209772,27604
820,44.0,0.02121766,27929
830,44.0,0.02145792,28258
840,45.0,0.021707022,28596
850,45.0,0.021957111,28943
860,45.0,0.022221868,29277
870,45.0,0.0225127,29621
880,45.0,0.022771884,29950
890,45.0,0.023086034,30274
900,44.0,0.023373548,30613
910,45.0,0.023658129,30947
920,45.0,0.023912425,31282
930,45.0,0.024161111,31606
940,45.0,0.024408727,31941
950,45.0,0.024675579,32278
960,44.0,0.024939313,32601
970,44.0,0.025184246,32932
980,45.0,0.025424594,33260
990,46.0,0.025661813,33592
1000,46.0,0.025902921,33932
1010,46.0,0.02614045,34257
1020,46.0,0.026381812,34581
1030,46.0,0.026625555,34923
1040,46.0,0.026869336,35263
1050,50.0,0.02710945,35604
1060,50.0,0.027349486,35936
1070,46.0,0.027590355,36272
1080,50.0,0.027833552,36605
1090,46.0,0.028086034,36953
1100,46.0,0.028323327,37299
1110,50.0,0.028559048,37640
1120,50.0,0.028793861,37978
1130,50.0,0.029037017,38316
1140,50.0,0.029281014,38652
1150,50.0,0.029513609,38977
1160,50.0,0.029751813,39314
1170,50.0,0.029996531,39645
1180,50.0,0.030242768,39994
1190,52.0,0.030485195,40327
1200,50.0,0.030728419,40671
1210,50.0,0.030961487,40999
1220,50.0,0.031193843,41338
1230,50.0,0.031428264,41665
1240,50.0,0.03166648,42003
1250,50.0,0.031902847,42338
1260,50.0,0.032140937,42669
1270,50.0,0.032402467,43003
1280,50.0,0.032654174,43331
1290,50.0,0.03289706,43666
1300,56.0,0.033193133,44006
1310,56.0,0.033432804,44336
1320,56.0,0.033664486,44665
1330,56.0,0.033896892,44989
1340,56.0,0.034135009,45321
1350,58.0,0.034373356,45648
1360,58.0,0.03460613,45973
1370,56.0,0.034840019,46303
1380,59.0,0.035071559,46635
1390,59.0,0.035298777,46964
1400,59.0,0.035525768,47301
1410,60.0,0.035752052,47648
1420,59.0,0.035976894,47983
1430,59.0,0.036298219,48318
1440,60.0,0.03652645,48658
1450,60.0,0.036755574,48997
1460,60.0,0.036983649,49330
1470,60.0,0.037248619,49662
1480,60.0,0.037475422,49994
1490,62.0,0.037702092,50320
1500,62.0,0.037928192,50659
1510,60.0,0.038152859,50990
1520,60.0,0.038377828,51319
1530,60.0,0.038599245,51651
1540,60.0,0.038825019,51981
1550,60.0,0.039053124,52319
1560,60.0,0.039282212,52658
1570,60.0,0.039514206,52988
1580,60.0,0.039744758,53321
1590,60.0,0.039975512,53658
1600,65.0,0.040209407,53990
1610,60.0,0.040437439,54316
1620,60.0,0.040664653,54655
1630,60.0,0.040890788,54979
1640,60.0,0.041118392,55317
1650,60.0,0.041344158,55647
1660,60.0,0.041572043,55984
1670,65.0,0.041800631,56314
1680,60.0,0.042025429,56656
1690,60.0,0.042255085,56986
1700,66.0,0.042502524,57326
1710,66.0,0.042740609,57654
1720,67.0,0.043057987,57986
1730,66.0,0.043380927,58329
1740,66.0,0.043701765,58662
1750,66.0,0.044107461,58990
1760,66.0,0.044399934,59319
1770,67.0,0.044637087,59655
1780,67.0,0.044869425,59985
1790,66.0,0.045115201,60317
1800,66.0,0.045346851,60643
1810,66.0,0.045597879,60978
1820,66.0,0.045877094,61311
1830,66.0,0.046144643,61634
1840,66.0,0.046419583,61967
1850,66.0,0.046693192,62293
1860,66.0,0.047069037,62631
1870,66.0,0.047335326,62968
1880,66.0,0.047597221,63292
1890,66.0,0.047866661,63636
1900,67.0,0.048132117,63971
1910,66.0,0.048392503,64304
1920,66.0,0.048624122,64644
1930,66.0,0.048851342,64973
1940,66.0,0.049074618,65307
1950,66.0,0.049300486,65642
1960,66.0,0.04952473,65973
1970,66.0,0.04974891,66295
1980,66.0,0.049975262,66630
1990,66.0,0.050202762,66962
2000,66.0,0.050427104,67297
2010,66.0,0.050653528,67623
2020,66.0,0.050880482,67955
2030,66.0,0.051106856,68289
2040,66.0,0.051360912,68624
2050,66.0,0.051603073,68957
2060,66.0,0.051842583,69291
2070,66.0,0.052082461,69626
2080,66.0,0.052318178,69952
2090,66.0,0.052560983,70284
2100,66.0,0.052799675,70627
2110,66.0,0.053022941,70969
2120,66.0,0.053242414,71300
2130,66.0,0.053470625,71637
2140,66.0,0.053705031,71973
2150,66.0,0.053936324,72304
2160,66.0,0.054170823,72639
2170,65.0,0.05440395,72971
2180,65.0,0.054635069,73311
2190,65.0,0.05486386,73653
2200,66.0,0.05694555,73991
2210,65.0,0.057227763,74340
2220,65.0,0.057497086,74673
2230,66.0,0.057754189,75014
2240,66.0,0.05801376,75361
2250,66.0,0.058276031,75695
2260,66.0,0.058608396,76020
2270,66.0,0.058970652,76362
2280,66.0,0.059221064,76704
2290,66.0,0.059574104,77042
2300,66.0,0.059847551,77375
2310,66.0,0.060129049,77703
2320,66.0,0.060370009,78040
2330,66.0,0.06061222,78370
2340,67.0,0.060889854,78705
