iterations,fitness,time,fevals
0,13.0,0.068584015,1000
10,20.0,0.13270554,2100
20,18.0,0.192304388,3200
30,19.0,0.251093889,4300
40,16.0,0.308346857,5400
50,19.0,0.363510149,6500
60,22.0,0.420741778,7600
70,20.0,0.482669744,8700
80,20.0,0.541845942,9800
90,19.0,0.597900539,10900
100,19.0,0.653131587,12000
110,19.0,0.708530697,13100
120,22.0,0.762024641,14200
130,22.0,0.814038843,15300
140,25.0,0.866215999,16400
150,27.0,0.916685187,17500
160,30.0,0.968438201,18600
170,28.0,1.023839671,19700
180,34.0,1.077697858,20800
190,38.0,1.131746188,21900
200,38.0,1.188404251,23000
210,38.0,1.244742355,24100
220,38.0,1.300165278,25200
230,36.0,1.356373641,26300
240,36.0,1.408145408,27400
250,36.0,1.462681076,28500
260,39.0,1.517258919,29600
270,38.0,1.577489626,30700
280,39.0,1.630075434,31800
290,38.0,1.682160355,32900
300,48.0,1.736827913,34000
310,48.0,1.791403994,35100
320,39.0,1.84414665,36200
330,44.0,1.90005268,37300
340,41.0,1.956011796,38400
350,40.0,2.010709608,39500
360,41.0,2.063048606,40600
370,43.0,2.115595548,41700
380,45.0,2.167613913,42800
390,43.0,2.222798551,43900
400,45.0,2.278331726,45000
410,47.0,2.332844495,46100
420,47.0,2.384246227,47200
430,52.0,2.438490683,48300
440,48.0,2.492007999,49400
450,48.0,2.542419543,50500
460,49.0,2.592369216,51600
470,48.0,2.642231455,52700
480,48.0,2.692019666,53800
490,52.0,2.742846465,54900
500,49.0,2.79267865,56000
510,52.0,2.844439013,57100
520,54.0,2.892571864,58200
530,54.0,2.942540361,59300
540,52.0,2.993712928,60400
550,56.0,3.046201559,61500
560,52.0,3.10163219,62600
570,52.0,3.153144721,63700
580,53.0,3.208641486,64800
590,55.0,3.261369634,65900
600,53.0,3.311315676,67000
610,55.0,3.363870468,68100
620,55.0,3.413915603,69200
630,57.0,3.463759095,70300
640,56.0,3.514612008,71400
650,56.0,3.565915077,72500
660,56.0,3.621181013,73600
670,56.0,3.671778975,74700
680,58.0,3.721042821,75800
690,59.0,3.773282787,76900
700,58.0,3.823553152,78000
710,58.0,3.872487914,79100
720,59.0,3.922704603,80200
730,58.0,3.97269098,81300
740,58.0,4.021180106,82400
750,58.0,4.068445884,83500
760,58.0,4.116383498,84600
770,54.0,4.165679019,85700
780,58.0,4.216279558,86800
790,58.0,4.266664124,87900
800,59.0,4.317182454,89000
810,59.0,4.369514543,90100
820,60.0,4.419455273,91200
830,59.0,4.470484561,92300
840,68.0,4.520937108,93400
850,68.0,4.569523303,94500
860,69.0,4.622542387,95600
870,68.0,4.671656129,96700
880,68.0,4.722061498,97800
890,72.0,4.770224419,98900
900,70.0,4.818860584,100000
910,72.0,4.866990023,101100
920,73.0,4.911880629,102200
930,73.0,4.960610486,103300
940,72.0,5.006725639,104400
950,74.0,5.052072266,105500
960,72.0,5.096813002,106600
970,73.0,5.141873093,107700
980,73.0,5.186681442,108800
990,73.0,5.231074705,109900
1000,73.0,5.28207601,111000
1010,73.0,5.328280921,112100
1020,75.0,5.372579029,113200
1030,74.0,5.416283422,114300
1040,73.0,5.46006209,115400
1050,75.0,5.502867722,116500
1060,75.0,5.544321088,117600
1070,72.0,5.586285155,118700
1080,72.0,5.627572762,119800
1090,72.0,5.670300189,120900
1100,75.0,5.713507751,122000
1110,72.0,5.756014295,123100
1120,73.0,5.801115705,124200
1130,75.0,5.847113317,125300
1140,75.0,5.89441173,126400
1150,73.0,5.944037909,127500
1160,72.0,5.990313495,128600
1170,75.0,6.035984829,129700
1180,73.0,6.081456194,130800
1190,75.0,6.128358934,131900
1200,75.0,6.174207768,133000
1210,78.0,6.220276198,134100
1220,72.0,6.270218082,135200
1230,75.0,6.31962409,136300
1240,75.0,6.365178604,137400
1250,75.0,6.411889161,138500
1260,75.0,6.458670804,139600
1270,75.0,6.506117644,140700
1280,73.0,6.554350734,141800
1290,75.0,6.600259723,142900
1300,72.0,6.644743376,144000
1310,75.0,6.689228105,145100
1320,72.0,6.734962741,146200
1330,79.0,6.780895274,147300
1340,72.0,6.825981991,148400
1350,76.0,6.871809618,149500
1360,72.0,6.91811478,150600
1370,72.0,6.963499211,151700
1380,75.0,7.008670912,152800
1390,72.0,7.054033219,153900
1400,72.0,7.098992886,155000
1410,75.0,7.145402131,156100
1420,73.0,7.190435092,157200
1430,72.0,7.23679023,158300
1440,72.0,7.283959969,159400
1450,76.0,7.329417337,160500
1460,75.0,7.375042317,161600
1470,72.0,7.420166628,162700
1480,72.0,7.468379675,163800
1490,72.0,7.514649483,164900
1500,73.0,7.56100978,166000
1510,73.0,7.606512965,167100
1520,75.0,7.654776326,168200
1530,75.0,7.700076461,169300
1540,72.0,7.745620725,170400
1550,72.0,7.79199467,171500
1560,72.0,7.837936996,172600
1570,76.0,7.884370641,173700
1580,72.0,7.932297701,174800
1590,75.0,7.983302291,175900
1600,75.0,8.029442378,177000
1610,73.0,8.075824075,178100
1620,75.0,8.123781803,179200
1630,73.0,8.172025096,180300
1640,75.0,8.218873376,181400
1650,76.0,8.265205097,182500
1660,73.0,8.311150994,183600
1670,75.0,8.355762521,184700
1680,73.0,8.400024437,185800
1690,72.0,8.445344952,186900
1700,72.0,8.490553683,188000
1710,75.0,8.537641392,189100
1720,72.0,8.584300386,190200
1730,75.0,8.629703532,191300
1740,75.0,8.678652953,192400
