iterations,fitness,time,fevals
0,7.0,1.4795e-05,11
10,7.0,2.8946e-05,21
20,7.0,4.6057e-05,31
30,7.0,5.9328e-05,41
40,7.0,7.537e-05,51
50,7.0,9.426e-05,61
60,7.0,0.000106664,71
70,7.0,0.000118754,81
80,7.0,0.000133763,91
90,7.0,0.000150534,101
100,7.0,0.000163977,111
110,7.0,0.000180838,121
120,7.0,0.000196069,131
130,7.0,0.000208693,141
140,7.0,0.000220791,151
150,7.0,0.000239535,161
160,9.0,0.00025294,171
170,9.0,0.00026961,181
180,9.0,0.00028262,191
190,9.0,0.000296521,201
200,10.0,0.000309654,211
210,10.0,0.000326207,221
220,10.0,0.000341042,231
230,10.0,0.000355112,241
240,10.0,0.000369939,251
250,12.0,0.000401342,261
260,13.0,0.00041749,271
270,13.0,0.000432367,281
280,13.0,0.000445341,291
290,13.0,0.000459028,301
300,13.0,0.000472199,311
310,13.0,0.00048731,321
320,13.0,0.000515734,331
330,13.0,0.000538725,341
340,13.0,0.000550513,351
350,13.0,0.000570618,361
360,13.0,0.000582113,371
370,13.0,0.000595537,381
380,13.0,0.00060752,391
390,13.0,0.000622502,401
400,13.0,0.000634533,411
410,13.0,0.000651438,421
420,13.0,0.000664574,431
430,13.0,0.00067687,441
440,13.0,0.000691298,451
450,13.0,0.000703082,461
460,13.0,0.000719126,471
470,14.0,0.00073233,481
480,14.0,0.000747612,491
490,14.0,0.000764125,501
500,14.0,0.000781356,511
510,14.0,0.00079833,521
520,14.0,0.000814131,531
530,14.0,0.000849325,541
540,14.0,0.00086593,551
550,14.0,0.000877916,561
560,14.0,0.000889344,571
570,15.0,0.000900885,581
580,15.0,0.000913265,591
590,15.0,0.000924633,601
600,15.0,0.000936537,611
610,16.0,0.000950588,621
620,16.0,0.000962293,631
630,16.0,0.000975366,641
640,18.0,0.000986804,651
650,18.0,0.001000645,661
660,19.0,0.001012736,671
670,19.0,0.001024351,681
680,19.0,0.001039315,691
690,19.0,0.001051858,701
700,19.0,0.001068848,711
710,19.0,0.00108164,721
720,19.0,0.001096123,731
730,19.0,0.001108041,741
740,19.0,0.00114295,751
750,19.0,0.00115553,761
760,20.0,0.001168751,771
770,20.0,0.001181568,781
780,21.0,0.00119499,791
790,21.0,0.00120709,801
800,21.0,0.001224096,811
810,21.0,0.001236959,821
820,21.0,0.001249202,831
830,21.0,0.001261638,841
840,21.0,0.001283938,851
850,21.0,0.001296323,861
860,21.0,0.001308389,871
870,21.0,0.001320872,881
880,21.0,0.001332682,891
890,21.0,0.001347253,901
900,21.0,0.001359346,911
910,21.0,0.00137119,921
920,21.0,0.001383298,931
930,21.0,0.001395069,941
940,21.0,0.001407925,951
950,21.0,0.001421481,961
960,21.0,0.001435877,971
970,21.0,0.00144887,981
980,21.0,0.001460892,991
990,21.0,0.001477514,1001
1000,21.0,0.001490619,1011
1010,21.0,0.001503424,1021
1020,21.0,0.001516341,1031
1030,21.0,0.001545574,1041
1040,21.0,0.001563499,1051
1050,21.0,0.001579608,1061
1060,21.0,0.001592562,1071
1070,21.0,0.001604356,1081
1080,21.0,0.001616709,1091
1090,21.0,0.001635404,1101
1100,21.0,0.001663523,1111
1110,21.0,0.001676364,1121
1120,21.0,0.001694741,1131
1130,21.0,0.001707432,1141
1140,21.0,0.001719737,1151
1150,21.0,0.001732983,1161
1160,21.0,0.001750311,1171
1170,21.0,0.001773124,1181
1180,21.0,0.001789942,1191
1190,21.0,0.001819356,1201
1200,21.0,0.001857143,1211
1210,21.0,0.001870143,1221
1220,21.0,0.0018833,1231
1230,21.0,0.001906001,1241
1240,21.0,0.001922612,1251
1250,21.0,0.001941734,1261
1260,21.0,0.001957348,1271
1270,21.0,0.001971823,1281
1280,21.0,0.001991147,1291
1290,21.0,0.002007527,1301
1300,21.0,0.00202875,1311
1310,21.0,0.002043489,1321
1320,21.0,0.002062701,1331
1330,21.0,0.002081635,1341
1340,21.0,0.002101371,1351
1350,21.0,0.002117212,1361
1360,21.0,0.002139741,1371
1370,21.0,0.002167315,1381
1380,21.0,0.002179928,1391
1390,21.0,0.002192411,1401
1400,21.0,0.002204304,1411
1410,21.0,0.002215791,1421
1420,23.0,0.002232414,1431
1430,23.0,0.002246307,1441
1440,23.0,0.002273359,1451
1450,23.0,0.002293357,1461
1460,23.0,0.002309114,1471
1470,23.0,0.002324267,1481
1480,23.0,0.002337455,1491
1490,23.0,0.002352118,1501
1500,23.0,0.002364878,1511
1510,23.0,0.002379421,1521
1520,23.0,0.002391812,1531
1530,26.0,0.002416568,1541
1540,26.0,0.002484555,1551
1550,26.0,0.002498303,1561
1560,26.0,0.002513934,1571
1570,26.0,0.002529912,1581
1580,26.0,0.002544251,1591
1590,26.0,0.002558842,1601
1600,26.0,0.00258397,1611
1610,26.0,0.002629353,1621
1620,27.0,0.00264402,1631
1630,27.0,0.002660296,1641
1640,27.0,0.002683498,1651
1650,27.0,0.002701649,1661
1660,27.0,0.002718072,1671
1670,27.0,0.002759148,1681
1680,27.0,0.002770931,1691
1690,27.0,0.002794133,1701
1700,27.0,0.002805574,1711
1710,27.0,0.002820657,1721
1720,27.0,0.002835421,1731
1730,27.0,0.002850289,1741
1740,27.0,0.002864116,1751
1750,27.0,0.002878043,1761
1760,27.0,0.002888796,1771
1770,29.0,0.002899708,1781
1780,29.0,0.002911497,1791
1790,29.0,0.002924474,1801
1800,29.0,0.002937043,1811
1810,29.0,0.002948003,1821
1820,29.0,0.002963613,1831
1830,29.0,0.002976254,1841
1840,29.0,0.002987809,1851
1850,29.0,0.002998857,1861
1860,29.0,0.003009553,1871
1870,29.0,0.003020592,1881
1880,29.0,0.003031443,1891
1890,29.0,0.003046722,1901
1900,29.0,0.00305794,1911
1910,29.0,0.003069956,1921
1920,30.0,0.003084269,1931
1930,30.0,0.00309692,1941
1940,30.0,0.003108622,1951
1950,30.0,0.003120476,1961
1960,30.0,0.003132081,1971
1970,30.0,0.003161961,1981
1980,30.0,0.00317288,1991
1990,30.0,0.003185617,2001
2000,30.0,0.003198744,2011
2010,30.0,0.003211465,2021
2020,30.0,0.003221737,2031
2030,30.0,0.003233471,2041
2040,30.0,0.003244117,2051
