iterations,fitness,time,fevals
0,9.0,9.81259999999e-05,11
10,9.0,0.000148026,21
20,9.0,0.00018827,31
30,9.0,0.000236565,41
40,11.0,0.000268809,51
50,11.0,0.00029678,61
60,11.0,0.000321675,71
70,14.0,0.000350486,81
80,14.0,0.000374609,91
90,16.0,0.000400719,101
100,16.0,0.000422555,111
110,16.0,0.000441142,121
120,16.0,0.000471258,131
130,16.0,0.000499024,141
140,18.0,0.000517469,151
150,18.0,0.000541333,161
160,18.0,0.000588538,171
170,18.0,0.000624497,181
180,18.0,0.000653438,191
190,18.0,0.000681813,201
200,18.0,0.000708913,211
210,18.0,0.000728459,221
220,21.0,0.000751646,231
230,23.0,0.000768985,241
240,23.0,0.000795679,251
250,23.0,0.000828347,261
260,23.0,0.000856777,271
270,23.0,0.00088122,281
280,23.0,0.000914471,291
290,23.0,0.000927713,301
300,23.0,0.000940337,311
310,23.0,0.000956733,321
320,23.0,0.000969369,331
330,24.0,0.000981494,341
340,24.0,0.000993673,351
350,25.0,0.001006372,361
360,25.0,0.001018432,371
370,25.0,0.001045217,381
380,26.0,0.001057057,391
390,27.0,0.001071976,401
400,27.0,0.001083687,411
410,27.0,0.001096126,421
420,27.0,0.001111612,431
430,27.0,0.0011235,441
440,27.0,0.001142992,451
450,28.0,0.001161722,461
460,28.0,0.001176557,471
470,28.0,0.001194764,481
480,28.0,0.001211571,491
490,28.0,0.001226708,501
500,28.0,0.001267663,511
510,28.0,0.001296736,521
520,28.0,0.00131285,531
530,28.0,0.001327347,541
540,29.0,0.001343551,551
550,32.0,0.00135718,561
560,32.0,0.001375604,571
570,32.0,0.001388581,581
580,32.0,0.001401188,591
590,32.0,0.001416398,601
600,32.0,0.001429436,611
610,32.0,0.001444773,621
620,32.0,0.00145796,631
630,33.0,0.001476651,641
640,33.0,0.001507584,651
650,33.0,0.001522192,661
660,33.0,0.001536227,671
670,33.0,0.001565579,681
680,33.0,0.00157922,691
690,33.0,0.001595808,701
700,34.0,0.001610635,711
710,34.0,0.001622311,721
720,34.0,0.001638532,731
730,34.0,0.001651519,741
740,34.0,0.001663946,751
750,34.0,0.001676782,761
760,34.0,0.001691112,771
770,34.0,0.001705093,781
780,34.0,0.001723545,791
790,34.0,0.001735554,801
800,34.0,0.001770255,811
810,34.0,0.001782953,821
820,34.0,0.001807247,831
830,34.0,0.015807717,841
840,34.0,0.015827266,851
850,34.0,0.015863759,861
860,34.0,0.015873561,871
870,34.0,0.015882552,881
880,34.0,0.015891475,891
890,35.0,0.015903182,901
900,35.0,0.015912774,911
910,35.0,0.015922641,921
920,35.0,0.015932362,931
930,35.0,0.015941485,941
940,35.0,0.015959731,951
950,35.0,0.015968156,961
960,35.0,0.015976271,971
970,35.0,0.015982558,981
980,37.0,0.015991099,991
990,37.0,0.015997342,1001
