iterations,fitness,time,fevals
0,528.0,0.00462332000001,804
10,550.0,0.00859971100002,1504
20,532.0,0.011844569,2201
30,541.0,0.014890315,2895
40,559.0,0.01794372,3598
50,555.0,0.020824999,4296
60,553.0,0.026039089,4999
70,553.0,0.029826944,5700
80,561.0,0.03251677,6394
90,555.0,0.035237229,7089
100,555.0,0.038160081,7775
110,552.0,0.040958943,8459
120,548.0,0.043678308,9144
130,556.0,0.046361205,9839
140,554.0,0.049078746,10542
150,550.0,0.051724812,11246
160,554.0,0.056274833,11940
170,558.0,0.058732362,12649
180,562.0,0.061426199,13344
190,562.0,0.064072264,14049
200,554.0,0.06683393,14743
210,560.0,0.069606537,15445
220,551.0,0.072138825,16141
230,557.0,0.074616047,16826
240,553.0,0.077106397,17523
250,562.0,0.079900155,18229
260,565.0,0.082414574,18935
270,561.0,0.087094054,19626
280,567.0,0.089698181,20323
290,567.0,0.092145135,21006
300,565.0,0.094550881,21712
310,561.0,0.096981789,22404
320,559.0,0.099883854,23116
330,559.0,0.1026127,23808
340,559.0,0.10508591,24513
350,559.0,0.107579177,25223
360,553.0,0.110068068,25903
370,555.0,0.112671466,26605
380,557.0,0.115254078,27277
390,559.0,0.118159061,27972
400,563.0,0.120575017,28675
410,559.0,0.12343551,29372
420,565.0,0.126040732,30056
430,561.0,0.129058399,30756
440,563.0,0.132499815,31455
450,563.0,0.135127282,32149
460,557.0,0.138840015,32842
470,557.0,0.141379231,33555
480,555.0,0.146141127,34261
490,553.0,0.148524263,34970
500,549.0,0.150805655,35662
510,551.0,0.155115357,36350
520,557.0,0.157509433,37042
530,561.0,0.159960762,37741
540,561.0,0.163209996,38442
550,563.0,0.166818797,39135
560,565.0,0.16910566,39830
570,577.0,0.171447224,40537
580,571.0,0.173692879,41229
590,565.0,0.175929052,41921
600,567.0,0.178408097,42606
610,563.0,0.18076133,43306
620,563.0,0.183235269,44013
630,557.0,0.185502075,44714
640,561.0,0.187828322,45418
650,569.0,0.1901367,46118
660,569.0,0.193709398,46829
670,565.0,0.198624092,47525
680,569.0,0.202640598,48224
690,571.0,0.209377926,48935
700,567.0,0.212724892,49630
710,563.0,0.215179869,50342
720,573.0,0.217699758,51042
730,567.0,0.220043145,51729
740,569.0,0.222460925,52425
750,571.0,0.224951274,53128
760,575.0,0.22748429,53841
770,579.0,0.230062891,54538
780,573.0,0.232604295,55222
790,575.0,0.235177426,55922
800,575.0,0.237575878,56606
810,573.0,0.23996886,57307
820,575.0,0.242334492,58003
830,576.0,0.244767588,58698
840,577.0,0.247418394,59384
850,584.0,0.249657119,60069
860,577.0,0.252091309,60760
870,581.0,0.256957137,61469
880,576.0,0.259718439,62165
890,583.0,0.262356482,62877
900,580.0,0.267051278,63582
910,581.0,0.26961201,64264
920,578.0,0.271930234,64968
930,579.0,0.274308265,65655
940,583.0,0.27721106,66353
950,582.0,0.279618994,67063
960,580.0,0.282036774,67771
970,580.0,0.284411887,68451
980,584.0,0.286767308,69127
990,582.0,0.289100119,69829
1000,582.0,0.291660486,70525
1010,588.0,0.293999132,71237
1020,584.0,0.296333402,71937
1030,586.0,0.298704139,72643
1040,582.0,0.301718523,73342
1050,582.0,0.305082264,74059
1060,588.0,0.307651383,74741
1070,584.0,0.310108913,75438
1080,586.0,0.312493143,76132
1090,586.0,0.314875915,76828
1100,584.0,0.317197057,77525
1110,590.0,0.32163403,78231
1120,592.0,0.324003673,78926
1130,590.0,0.326398479,79630
1140,596.0,0.328785262,80336
1150,602.0,0.331134849,81016
1160,600.0,0.33354096,81710
1170,594.0,0.335967856,82411
1180,594.0,0.338340781,83105
1190,596.0,0.340693285,83799
1200,598.0,0.343111065,84492
1210,598.0,0.345475967,85208
1220,596.0,0.348890397,85900
1230,596.0,0.3514989,86595
1240,594.0,0.35388787,87303
1250,594.0,0.356663029,88002
1260,592.0,0.35951477,88694
1270,592.0,0.362546658,89386
1280,594.0,0.364910466,90097
1290,590.0,0.368053215,90797
1300,590.0,0.371224409,91495
1310,592.0,0.373608275,92174
1320,594.0,0.375991776,92857
1330,592.0,0.380588111,93555
1340,592.0,0.382910712,94253
1350,594.0,0.385151626,94941
1360,592.0,0.387575605,95636
1370,594.0,0.38998755,96321
1380,590.0,0.392357923,97037
1390,590.0,0.395358086,97742
1400,592.0,0.397666464,98440
1410,588.0,0.400071116,99122
1420,592.0,0.402465557,99833
1430,590.0,0.404781593,100522
1440,588.0,0.407138473,101214
1450,584.0,0.40959345,101917
1460,592.0,0.411940484,102616
1470,584.0,0.414302469,103316
1480,596.0,0.416548124,104008
1490,594.0,0.41890865,104711
1500,590.0,0.421283764,105411
1510,598.0,0.42373947,106098
1520,596.0,0.426128076,106792
1530,596.0,0.428403269,107484
1540,598.0,0.432588983,108185
1550,600.0,0.434997282,108881
1560,596.0,0.437475962,109584
1570,600.0,0.439791998,110276
1580,594.0,0.442205767,110991
1590,588.0,0.444475125,111691
1600,592.0,0.446886341,112388
1610,598.0,0.44923301,113091
1620,598.0,0.45136197,113802
1630,595.0,0.453544536,114510
1640,600.0,0.455753359,115205
1650,598.0,0.457810113,115913
1660,594.0,0.459872702,116607
1670,596.0,0.462130391,117307
1680,592.0,0.464262997,117984
1690,592.0,0.466405449,118689
1700,596.0,0.468545349,119382
1710,596.0,0.47069473,120083
1720,592.0,0.472849946,120789
1730,594.0,0.475005526,121477
1740,594.0,0.47717934,122172
1750,602.0,0.4815638,122886
1760,602.0,0.483971004,123590
1770,600.0,0.486641138,124284
1780,602.0,0.488826257,124965
1790,598.0,0.490904162,125656
1800,604.0,0.493017076,126349
1810,600.0,0.495132907,127045
1820,602.0,0.497388043,127756
1830,600.0,0.499429116,128460
1840,600.0,0.501668936,129153
1850,600.0,0.504016699,129841
1860,602.0,0.506424633,130544
1870,604.0,0.50861668,131239
1880,602.0,0.510674892,131937
1890,594.0,0.512862199,132641
1900,594.0,0.515108218,133332
1910,592.0,0.51722332,134039
1920,594.0,0.519339151,134725
1930,590.0,0.521514788,135434
1940,590.0,0.523772841,136137
1950,596.0,0.525867521,136838
1960,594.0,0.530721314,137542
1970,596.0,0.53298265,138235
1980,596.0,0.535230858,138936
1990,592.0,0.537487453,139610
2000,592.0,0.539715968,140281
2010,598.0,0.541986055,140979
2020,596.0,0.544328347,141670
2030,592.0,0.546615575,142364
2040,596.0,0.548903167,143079
2050,600.0,0.551478485,143774
2060,600.0,0.553738362,144459
2070,598.0,0.556082478,145173
2080,596.0,0.558410548,145871
2090,592.0,0.56077618,146580
2100,596.0,0.563125766,147289
2110,598.0,0.565607363,148002
2120,600.0,0.569298581,148688
2130,596.0,0.571569762,149389
2140,592.0,0.573708568,150074
2150,592.0,0.575836433,150758
2160,594.0,0.578045255,151452
2170,598.0,0.582612051,152148
2180,598.0,0.584653489,152852
2190,596.0,0.58684189,153561
2200,598.0,0.589093379,154271
2210,600.0,0.591222338,154973
2220,600.0,0.593389588,155667
2230,596.0,0.595494478,156367
2240,598.0,0.597751802,157078
2250,586.0,0.599953695,157771
2260,590.0,0.602214665,158471
2270,588.0,0.604366234,159169
2280,594.0,0.606446692,159865
2290,594.0,0.608544654,160566
2300,594.0,0.611577272,161253
2310,596.0,0.613802869,161953
2320,596.0,0.615953343,162637
2330,598.0,0.618593209,163340
2340,596.0,0.620864026,164033
2350,598.0,0.623103481,164737
2360,596.0,0.62533929,165435
2370,598.0,0.627596614,166128
2380,596.0,0.632223581,166820
2390,596.0,0.634301487,167529
2400,594.0,0.636501922,168234
2410,590.0,0.63869944,168941
2420,592.0,0.641671158,169635
2430,586.0,0.644065599,170339
2440,586.0,0.64710077,171038
2450,584.0,0.649878117,171744
2460,590.0,0.652846553,172444
2470,586.0,0.655787638,173147
2480,584.0,0.659656816,173840
2490,592.0,0.662235417,174534
2500,588.0,0.664735248,175236
2510,582.0,0.667493268,175947
2520,584.0,0.670146262,176655
2530,586.0,0.672507518,177347
2540,584.0,0.675202449,178046
2550,584.0,0.677647944,178744
2560,584.0,0.680038374,179457
2570,584.0,0.68255498,180163
2580,586.0,0.684818504,180864
2590,578.0,0.686986484,181544
2600,582.0,0.691891697,182227
2610,582.0,0.694754013,182909
2620,584.0,0.697170699,183616
2630,582.0,0.699553835,184319
2640,588.0,0.702051478,185003
2650,582.0,0.706263448,185688
2660,574.0,0.708645125,186373
2670,580.0,0.710920318,187057
2680,583.0,0.71314628,187751
2690,576.0,0.715372972,188443
2700,580.0,0.718592667,189140
2710,584.0,0.722937742,189846
2720,584.0,0.727090635,190536
2730,580.0,0.729841361,191239
2740,579.0,0.732458982,191937
2750,580.0,0.734713024,192657
2760,581.0,0.736904707,193365
2770,582.0,0.739317017,194060
2780,586.0,0.741609715,194761
2790,589.0,0.744132521,195448
2800,586.0,0.747147999,196138
2810,583.0,0.75177606,196837
2820,580.0,0.754748871,197535
2830,586.0,0.757311062,198232
2840,590.0,0.759601571,198921
2850,582.0,0.761771738,199632
2860,584.0,0.764182954,200317
2870,584.0,0.76661605,201005
2880,584.0,0.768971106,201693
2890,590.0,0.771501569,202390
2900,582.0,0.773918255,203094
2910,588.0,0.776289357,203793
2920,582.0,0.778715889,204505
2930,582.0,0.780938934,205204
2940,582.0,0.782977455,205881
2950,582.0,0.785230403,206583
2960,582.0,0.788047865,207289
2970,581.0,0.790362807,207979
2980,582.0,0.792794809,208680
2990,578.0,0.796163655,209385
3000,586.0,0.798535122,210077
