iterations,fitness,time,fevals
0,556.0,9.694846993,1000
10,597.0,19.042588666,2100
20,648.0,27.276524378,3200
30,684.0,34.562900388,4300
40,712.0,41.49345212,5400
50,726.0,48.118569316,6500
60,730.0,54.562044866,7600
70,736.0,60.949681368,8700
80,740.0,67.198009252,9800
90,738.0,73.349261629,10900
100,738.0,79.399537231,12000
110,740.0,85.457095711,13100
120,740.0,91.411253071,14200
130,740.0,97.592784222,15300
140,740.0,103.810233081,16400
150,738.0,109.881553943,17500
160,740.0,115.878379831,18600
170,740.0,121.965757961,19700
180,738.0,127.978665916,20800
190,738.0,134.139192284,21900
200,740.0,140.483733225,23000
210,740.0,146.53599447,24100
220,740.0,152.621463904,25200
230,738.0,158.768194705,26300
240,740.0,164.852171169,27400
250,740.0,170.995570685,28500
260,738.0,177.119681203,29600
270,740.0,183.10909913,30700
280,740.0,189.328222202,31800
290,740.0,195.287549526,32900
300,738.0,201.390137426,34000
310,740.0,207.497416475,35100
320,738.0,213.65106147,36200
330,738.0,220.022133078,37300
340,740.0,226.041480788,38400
350,740.0,232.18533578,39500
360,742.0,238.42809803,40600
370,742.0,244.474992021,41700
380,740.0,250.536546584,42800
390,740.0,256.679247751,43900
400,740.0,262.910901705,45000
410,740.0,269.114848558,46100
420,740.0,275.345494558,47200
430,740.0,281.461231096,48300
440,740.0,287.532906055,49400
450,740.0,293.530196173,50500
460,741.0,299.675870516,51600
470,740.0,305.755563899,52700
480,740.0,311.870536084,53800
490,740.0,317.911608805,54900
500,738.0,324.044021097,56000
510,738.0,330.055645769,57100
520,740.0,336.198577409,58200
530,742.0,342.239964114,59300
540,744.0,348.439208148,60400
550,740.0,354.55989293,61500
560,740.0,360.589874496,62600
570,738.0,366.732923926,63700
580,738.0,372.886628362,64800
590,738.0,378.899114026,65900
600,740.0,385.072279586,67000
610,742.0,391.354782408,68100
620,738.0,397.385716864,69200
630,740.0,403.541409131,70300
640,742.0,409.673835644,71400
650,740.0,415.665728605,72500
660,740.0,421.737023576,73600
670,742.0,427.997197489,74700
680,740.0,434.110243837,75800
690,740.0,440.220062832,76900
700,738.0,446.394427071,78000
710,744.0,452.569329202,79100
720,740.0,458.753305119,80200
730,740.0,464.974347463,81300
740,740.0,471.028727455,82400
750,738.0,477.147815701,83500
760,738.0,483.243041224,84600
770,738.0,489.310774072,85700
780,740.0,495.412652684,86800
790,738.0,501.391134807,87900
800,740.0,507.543100484,89000
810,738.0,513.595405854,90100
820,742.0,519.642729066,91200
830,740.0,525.715473976,92300
840,742.0,531.993393226,93400
850,740.0,537.839417838,94500
860,742.0,543.884138744,95600
870,744.0,550.130782206,96700
880,742.0,556.213429803,97800
890,742.0,562.507925615,98900
900,744.0,568.462638736,100000
910,742.0,574.587911466,101100
920,742.0,580.74099997,102200
930,740.0,586.885637549,103300
940,742.0,592.874744046,104400
950,740.0,598.864420162,105500
960,744.0,606.40116039,106600
970,742.0,612.731888258,107700
980,742.0,619.426860698,108800
990,742.0,626.773915692,109900
1000,740.0,632.822327816,111000
1010,742.0,638.912781232,112100
1020,744.0,645.0658154,113200
1030,742.0,651.138000902,114300
1040,742.0,657.262319284,115400
1050,744.0,663.179779995,116500
1060,742.0,669.291906274,117600
1070,740.0,675.407764978,118700
1080,742.0,681.509067042,119800
1090,740.0,687.44279252,120900
1100,744.0,693.381359757,122000
1110,740.0,699.416184541,123100
1120,742.0,705.52793083,124200
1130,742.0,711.550638999,125300
1140,740.0,717.474878611,126400
1150,742.0,723.449054678,127500
1160,740.0,729.587641608,128600
1170,744.0,735.594932874,129700
1180,742.0,741.549260536,130800
1190,742.0,747.513958396,131900
1200,742.0,753.371288955,133000
1210,740.0,759.440566557,134100
1220,740.0,765.391084483,135200
1230,742.0,771.437411773,136300
1240,744.0,777.399792503,137400
1250,740.0,783.39957297,138500
1260,740.0,789.582678048,139600
1270,742.0,795.467930867,140700
1280,740.0,801.562535352,141800
1290,742.0,807.600084971,142900
1300,744.0,813.613102692,144000
1310,742.0,819.730188519,145100
1320,740.0,825.674173699,146200
1330,742.0,831.707435496,147300
1340,744.0,837.718772076,148400
1350,746.0,843.844813536,149500
1360,741.0,849.757913856,150600
1370,742.0,855.779771243,151700
1380,742.0,862.042899004,152800
1390,742.0,868.270534265,153900
1400,742.0,874.321374015,155000
1410,742.0,880.410628387,156100
1420,744.0,886.503819401,157200
1430,740.0,892.524897848,158300
1440,740.0,898.562452936,159400
1450,742.0,904.464056948,160500
1460,740.0,910.600791705,161600
1470,742.0,916.42035749,162700
1480,740.0,922.518016109,163800
1490,740.0,928.606551347,164900
1500,744.0,934.540391332,166000
1510,742.0,940.602950569,167100
1520,742.0,946.677071389,168200
1530,742.0,952.94143539,169300
1540,742.0,958.984685572,170400
1550,742.0,964.874260492,171500
1560,742.0,970.965743014,172600
1570,742.0,976.893304064,173700
1580,742.0,982.906672236,174800
1590,740.0,989.773144046,175900
1600,740.0,995.815263013,177000
1610,742.0,1001.82768778,178100
1620,742.0,1007.77730533,179200
1630,740.0,1013.80804395,180300
1640,742.0,1019.8362554,181400
1650,740.0,1025.82251198,182500
1660,740.0,1032.03966326,183600
1670,744.0,1038.08273257,184700
1680,742.0,1044.03609494,185800
1690,742.0,1050.10947219,186900
1700,742.0,1056.06244911,188000
1710,740.0,1062.30517526,189100
1720,740.0,1068.24116608,190200
1730,744.0,1074.46187876,191300
1740,740.0,1082.14893124,192400
1750,742.0,1088.56183044,193500
1760,742.0,1094.57465015,194600
1770,742.0,1100.56249159,195700
1780,742.0,1106.66875612,196800
1790,740.0,1112.72989314,197900
1800,740.0,1118.80741927,199000
1810,742.0,1124.84826079,200100
1820,742.0,1130.73643609,201200
1830,744.0,1137.09088373,202300
1840,742.0,1143.30218859,203400
1850,742.0,1149.65423048,204500
1860,742.0,1155.60328643,205600
1870,742.0,1161.95754335,206700
1880,742.0,1168.2846409,207800
1890,742.0,1174.56757695,208900
1900,742.0,1180.76048297,210000
1910,742.0,1186.80317557,211100
1920,740.0,1192.83426392,212200
1930,740.0,1198.93120705,213300
1940,742.0,1205.01844186,214400
1950,744.0,1211.04454295,215500
1960,742.0,1217.01348049,216600
1970,742.0,1223.10842923,217700
1980,742.0,1229.22913443,218800
1990,742.0,1235.18292128,219900
2000,742.0,1241.32361383,221000
2010,742.0,1247.66077453,222100
2020,740.0,1253.63506729,223200
2030,740.0,1259.61028815,224300
2040,742.0,1265.63850579,225400
2050,742.0,1271.77451959,226500
2060,740.0,1277.85618111,227600
2070,740.0,1283.88377188,228700
2080,742.0,1289.94672314,229800
2090,742.0,1296.13329298,230900
2100,743.0,1302.04612088,232000
2110,742.0,1308.2300235,233100
2120,742.0,1314.32480194,234200
2130,740.0,1320.56552931,235300
2140,742.0,1326.5906177,236400
2150,742.0,1332.62866838,237500
2160,744.0,1338.6292121,238600
2170,744.0,1344.66868136,239700
2180,742.0,1350.75400748,240800
2190,742.0,1356.75720274,241900
2200,742.0,1362.89354183,243000
2210,742.0,1369.14691095,244100
2220,740.0,1375.14215379,245200
2230,742.0,1381.16764368,246300
2240,740.0,1387.15839267,247400
2250,742.0,1393.02303965,248500
2260,742.0,1399.16337592,249600
2270,742.0,1405.23783041,250700
2280,742.0,1411.4636445,251800
2290,742.0,1417.62211047,252900
2300,742.0,1423.70320893,254000
2310,742.0,1429.61045699,255100
2320,740.0,1435.63192053,256200
2330,742.0,1441.66877946,257300
2340,740.0,1447.73464591,258400
2350,742.0,1454.10676449,259500
2360,742.0,1460.03630754,260600
2370,740.0,1466.04731045,261700
2380,740.0,1472.10255982,262800
2390,740.0,1478.29636767,263900
2400,742.0,1484.21500227,265000
2410,742.0,1490.25178753,266100
2420,742.0,1496.29888756,267200
2430,744.0,1502.33073954,268300
2440,742.0,1508.44803797,269400
2450,740.0,1514.57693591,270500
2460,742.0,1520.66955621,271600
2470,742.0,1526.66316167,272700
2480,742.0,1532.7233035,273800
2490,742.0,1538.74962229,274900
2500,744.0,1544.81120056,276000
2510,744.0,1550.70584917,277100
2520,744.0,1556.70291136,278200
2530,744.0,1562.82751638,279300
2540,744.0,1568.85465495,280400
2550,744.0,1574.80313837,281500
2560,744.0,1580.8520428,282600
2570,744.0,1586.7523763,283700
2580,742.0,1592.78800774,284800
2590,744.0,1598.85241222,285900
2600,744.0,1605.11421293,287000
2610,746.0,1611.03966289,288100
2620,744.0,1616.9854058,289200
2630,746.0,1622.96127285,290300
2640,746.0,1628.95258416,291400
2650,742.0,1635.05984497,292500
2660,744.0,1640.9623242,293600
2670,744.0,1647.12776198,294700
2680,744.0,1653.17059607,295800
2690,742.0,1659.17900907,296900
2700,744.0,1665.19126317,298000
2710,742.0,1671.4003902,299100
2720,742.0,1677.46122818,300200
2730,742.0,1683.45083683,301300
2740,744.0,1689.51914732,302400
2750,742.0,1695.62853381,303500
2760,746.0,1701.72977425,304600
2770,742.0,1707.73079205,305700
2780,742.0,1713.68727456,306800
2790,744.0,1719.68808158,307900
2800,744.0,1725.7432427,309000
2810,742.0,1731.96665943,310100
2820,742.0,1737.84524348,311200
2830,746.0,1743.87403074,312300
2840,744.0,1749.66605645,313400
2850,742.0,1755.77493933,314500
2860,744.0,1761.85895992,315600
2870,742.0,1767.67773035,316700
2880,744.0,1773.91181485,317800
2890,744.0,1780.09251454,318900
2900,744.0,1786.2207269,320000
2910,744.0,1792.08513722,321100
2920,744.0,1798.3069038,322200
2930,744.0,1804.35526742,323300
2940,742.0,1810.39569212,324400
2950,742.0,1816.42334671,325500
2960,742.0,1822.50142423,326600
2970,743.0,1828.44751649,327700
2980,742.0,1834.48565833,328800
2990,744.0,1840.44695015,329900
3000,742.0,1846.37001843,331000
