iterations,fitness,time,fevals
0,477.0,0.001792731,11
10,479.0,0.002827308,21
20,481.0,0.004495686,31
30,487.0,0.006106445,41
40,487.0,0.007606709,51
50,491.0,0.008988454,61
60,495.0,0.010028865,71
70,497.0,0.010621458,81
80,499.0,0.011037914,91
90,503.0,0.011393835,101
100,507.0,0.012204138,111
110,513.0,0.012573916,121
120,519.0,0.013151557,131
130,523.0,0.013763477,141
140,529.0,0.014453073,151
150,533.0,0.016485759,161
160,533.0,0.017212916,171
170,537.0,0.017950284,181
180,539.0,0.018933807,191
190,541.0,0.020086537,201
200,545.0,0.021100327,211
210,549.0,0.02181545,221
220,551.0,0.022747553,231
230,553.0,0.02358083,241
240,555.0,0.024454586,251
250,557.0,0.025319225,261
260,559.0,0.026120046,271
270,561.0,0.02692962,281
280,569.0,0.02789892,291
290,569.0,0.028920733,301
300,571.0,0.029817828,311
310,571.0,0.030735345,321
320,575.0,0.031733454,331
330,577.0,0.032990481,341
340,581.0,0.033825946,351
350,581.0,0.034593217,361
360,583.0,0.035959281,371
370,587.0,0.037052205,381
380,587.0,0.038044115,391
390,591.0,0.039498065,401
400,591.0,0.040539206,411
410,591.0,0.041570136,421
420,593.0,0.04266853,431
430,593.0,0.043568907,441
440,595.0,0.044521067,451
450,595.0,0.045148669,461
460,597.0,0.045907188,471
470,601.0,0.04694614,481
480,601.0,0.047915805,491
490,601.0,0.048651714,501
500,605.0,0.049386529,511
510,605.0,0.050182245,521
520,605.0,0.051131488,531
530,607.0,0.052019466,541
540,609.0,0.052904162,551
550,611.0,0.05359157,561
560,613.0,0.054635993,571
570,613.0,0.055162945,581
580,613.0,0.056173453,591
590,615.0,0.056401738,601
600,617.0,0.05651041,611
610,619.0,0.056593921,621
620,621.0,0.056731402,631
630,621.0,0.056907903,641
640,621.0,0.057064712,651
650,621.0,0.057269294,661
660,621.0,0.057481534,671
670,621.0,0.05762485,681
680,623.0,0.05773024,691
690,625.0,0.057822867,701
700,625.0,0.05788632,711
710,629.0,0.058163472,721
720,629.0,0.058235677,731
730,629.0,0.058300589,741
740,629.0,0.058488395,751
750,629.0,0.058691518,761
760,629.0,0.058858173,771
770,629.0,0.059035039,781
780,631.0,0.059264054,791
790,631.0,0.059427792,801
800,631.0,0.059549593,811
810,633.0,0.059663736,821
820,635.0,0.059827109,831
830,635.0,0.059975166,841
840,637.0,0.060063782,851
850,637.0,0.060166255,861
860,637.0,0.060310665,871
870,639.0,0.060450335,881
